Comment,Designator,Footprint,LCSC,Quantity
100nF 10% 50V X7R 0805,C13,C_0805_2012Metric,,1
330R 1% 0805,R46,R_0805_2012Metric,,1
330R 1% 0805,R44,R_0805_2012Metric,,1
75K 1% 0805,R14,R_0805_2012Metric,,1
10m 3W 1% 2512,R25,R_2512_6332Metric,,1
10K 1% 0805,R7,R_0805_2012Metric,,1
75K 1% 0805,R13,R_0805_2012Metric,,1
4.7K 1% 0805,R52,R_0805_2012Metric,,1
33R 1% 0805,R48,R_0805_2012Metric,,1
4.7K 1% 0805,R26,R_0805_2012Metric,,1
4.7K 1% 0805,R37,R_0805_2012Metric,,1
100R 1% 0805,R6,R_0805_2012Metric,,1
2.7K 1% 0805,R4,R_0805_2012Metric,,1
10K 1% 0805,R3,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C29,C_0805_2012Metric,,1
4.7K 1% 0805,R54,R_0805_2012Metric,,1
22uF 10% 25V X7R 1210,C24,C_1210_3225Metric,,1
SS110,D17,D_SMA_Handsoldering,,1
22uF 10% 25V X7R 1210,C22,C_1210_3225Metric,,1
100nF 10% 50V X7R 0805,C34,C_0805_2012Metric,,1
330R 1% 0805,R34,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C4,C_0805_2012Metric,,1
330R 1% 0805,R35,R_0805_2012Metric,,1
75K 1% 0805,R12,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C31,C_0805_2012Metric,,1
330R 1% 0805,R43,R_0805_2012Metric,,1
2.2uF 100V 1206,C32,C_1206_3216Metric,,1
10K 1% 0805,R57,R_0805_2012Metric,,1
2.2uF 100V 1206,C39,C_1206_3216Metric,,1
10K 1% 0805,R56,R_0805_2012Metric,,1
2.2uF 100V 1206,C46,C_1206_3216Metric,,1
10K 1% 0805,R39,R_0805_2012Metric,,1
2.2uF 100V 1206,C36,C_1206_3216Metric,,1
2.2uF 100V 1206,C26,C_1206_3216Metric,,1
10K 1% 0805,R58,R_0805_2012Metric,,1
10K 1% 0805,R38,R_0805_2012Metric,,1
2.2uF 100V 1206,C35,C_1206_3216Metric,,1
10K 1% 0805,R55,R_0805_2012Metric,,1
