# 2x Hissuma PSF10MONO series, irradiance 1000/300 W/m2, 25 degC
# global MPP: V=13.148 V, I=0.708 A, P=9.308 W
# v,i
30.269296,0.178699
30.301774,0.177398
30.334252,0.176068
30.366730,0.174709
30.399207,0.173321
30.431685,0.171903
30.464163,0.170456
30.496641,0.168976
30.529119,0.167465
30.561596,0.165922
30.594074,0.164347
30.626552,0.162738
30.659030,0.161094
30.691507,0.159416
30.723985,0.157705
30.756463,0.155956
30.788941,0.154171
30.821419,0.152350
30.853896,0.150493
30.886374,0.148595
30.918852,0.146659
30.951330,0.144684
30.983808,0.142670
31.016285,0.140617
31.048763,0.138525
31.081241,0.136389
31.113719,0.134205
31.146196,0.131980
31.178674,0.129712
31.211152,0.127402
31.243630,0.125047
31.276108,0.122649
31.308585,0.120199
31.341063,0.117703
31.373541,0.115161
31.406019,0.112572
31.438496,0.109936
31.470974,0.107249
31.503452,0.104507
31.535930,0.101717
31.568408,0.098876
31.600885,0.095983
31.633363,0.093037
31.665841,0.090032
31.698319,0.086974
31.730797,0.083864
31.763274,0.080700
31.795752,0.077477
31.828230,0.074193
31.860708,0.070853
31.893185,0.067457
31.925663,0.064005
31.958141,0.060483
31.990619,0.056903
32.023097,0.053264
32.055574,0.049566
32.088052,0.045799
32.120530,0.041966
32.153008,0.038072
32.185486,0.034117
32.217963,0.030090
32.250441,0.025994
32.282919,0.021834
32.315397,0.017611
32.347874,0.013310
32.380352,0.008938
32.412830,0.004502
32.445308,0.000000
